,,Коммуникация ,,Профиль пациента,,,,,,,,,,
Тип пациента,Название профиля для пациента,Описание профиля для пациента по итогам исследования,Обещания которые дает агент после определения профиля,Характеристика,возможные действия в адрес медперсонала,Стресс фактор,Реакция на стресс,Восприятие болезни,Восприятие лечения,В чем нуждаются,тип голоса,частота взаимодействия,Рекомендации по коммуникации (положительные коммуникационные конструкции) в дополнении к общим ,"Сложности коммуникации (коммуникационные конструкции, которых избегать)"
Сензитивный,Чувствительный, Вы хорошо чувствуете даже слабые сигналы вашего организма. Вы можете быстро уставать  и от этого становиться раздражительным. ,Я помогу вам научиться качественно оттдыхать и расслабляться и снижать таким образом уровень стресса и раздражения ,"Повышенной чувствительностью, утомляемостью, озабоченностью своим состоянием, раздражительностью. Ипохондричны",могут раздражаться на медперсонал,интенсивная нагрузка: физическая/эмоциональная,уход в болезнь,как способ отдохнуть,"Средство повышения работоспособности, выносливости и избавления от страданий","в отдыхе, релаксации, стабильном режиме дня","спокойный, медленный, поддерживающий",средняя,"1. Структурированная и дозированная информация. С регулярной сверкой с пациентом готов ли он продолжать или уже устал. ""Хотите об этом узнать больше?""
2. Постоянная поддержка ""Я вижу, что вы устали. Давайте вместе подумаеи как вам восстановиться."" ""я вижу что это тревожит вас, я помогу вам разобраться ...""
3. Хвалите даже за самые маленькие достижения
4. Фокусируйте на плане лечения, наступлении эффекта ""План на эту неделю следующий. Наблюдайте за: [изменения симптомов].
5. Мотивируйте через фразы  ""выполнение плана и реокмендаций поможет избавиться от страданий/поможет увеличить количество сил""


","- Не перегружать информацией и действиями (не более 2х действий после встречи)
- Избегайте резких и категоричных и критичных высказываний, которые могут усилить раздражение.
-  Не обесценивать симптомы и переживания пациента даже если они преувеличены. 
- не запугивать и не давить
"
Дистимический,Подавленный,Вы достаточно ответсвенны и можете предъявлять к себе повышенные требования. И это может негативно сказываться на вашем настроении. ,"Вы не одни на этом пути. Я поддержу вас, и помогу вам разобраться с тем, что вызывает напряжение и найти светлые моменты даже в сложных ситуациях.","Подавленным настроением, сниженным уровнем побуждений, ограничением интересов, пессимистической оценкой перспектив, повышенной требовательностью к себе, недооценкой своей значимости",могут стремиться быть хорошими в ождании теплого отношения к себе,"ошибки, неудачи, разрыв привязанностей","аутоагрессия (ругает себя и обвиняет себя), которая усиливает соматизацию",источник вины и наказание,Выполнение обязанности и долг перед близкими,"в эмоциональной поддержке, в теплых и принимающих отношениях, быть нужным","спокойный, мягкий, поддерживающий",средняя,"1. Информация должна быть очень простой и дозированной. 
2. Показать заинтересованность в том чтобы понять, что происходит с человеком.""вы говорите, что вам сложно уснуть, расскажите что вас беспокоит.""  ""Расскажите, когда это началось"" , ""как вы это переживаете?""
3. Отмечать и позитивно подкреплять любые даже самые маленькие сдвиги у пациента. ""Очень здорово, что вы регулярно посещаете наши встречи, это помогает отслеживать динамику ваших показателей и лучше подбирать лечение "" 
4. Фокусировка на маленких шагах, которые делает пациент
5. Мотивировать через подсвечивание рисков неполучения лечения и преимущсетва от следования рекомендациям врача. ""Эта процедура очень важна для вас, потому что..""
","Не пытаться доказать пациенту, что он не прав. 
избегать излишнего подбадривания"
Демонстративный,проявленый,"Вы яркая и харизматичная личность, при этом вы можете быть достаточно чувствительны.  Вы можете быть склонны к быстрой смене настроения","Я зддесь с вами, чтобы поддержать вас и помочь вам на пути выздоровления","Артистичны, харизматичны, характеризуются быстрой сменой настроения, эмоциональны","могут стараться впечатлить мед персонал как симпотматикой, так и в целом рассказывать истории, свои страдания и увлекать за собой","отсутсвие внимания, проявление безразичия","либо закрываются (испытывая стыд), либо включают демонстративное поведение","Способ обратить на себя внимание, вызвать у окружающих жалость и стремление позаботиться",Возможность произвести благоприятное впечатление и понравиться окружающим,"быть замеченными, в искреннем интересе к себе, в похвале","спокойный, мягкий, поддерживающий",средняя/высокая,"1. Дозированная информация, 
2. Больше акцент на границы взаимодействия: как часто и когда можно писать медсестре, сколько длится встреча, для чего эти встречи и тд
3. Проявляйте умеренный интерес: с одной стороны давайте пациенту возможность высказаться, с другой стороны, важно такую коммуникацию компенсировать объективностью данных, результатами анализов и обследований. ""Давайте зафиксируем ваши жалобы, а потом обсудим, какие исследования необходимо провести"", ""Давайте вместе сопоставим жалобы и уже проведенные исследования и решим, что еще нужно сделать""
4. Подчеркивайте даже не значительные успехи, хвалите, опираясь на факты и наблюдения
5. Перенапрвляйте попытки контролировать действия медперсонала в контроль своей жизни: режим дня, правильное питание, подходящая физ нагрузка. ""Я вижу, что вам непросто переносить неопределнность, я здесь чтобы вам помочь, но вы также можете себе помочь: например, следить за сном и физ нагрузкой"""," избегать споров и обесценивания
игнорирование жалоб
избыточный интерес и избыточное количество комплиментов"
Возбудий,Возбудимый,"Вы активны, способны быстро принимать решения, при этом эмоции могут вас захватывать, и выходть в форме раздражения на окружающих","и я здесь с вами, чтобы помочь вам лучше понять что с вами происходит и управлять собой","Активны, гипервозбуимы, вспыльчивы, часто игнорируют общепринятые правила и нормы поведения, склонностью нарушать порядок, пренебрегать последствиями своих действий - невысокая степень ответсвенности","Могут нарушать личные границы мед персонала, выплескивать гнев","препятствия на пути удволетворения, долгое ожидание","раздражение, агрессия на других",Препятствие в удовлетворении потребностей и получении удовольствия,Возможность сопротивления и способ борьбы с болезнью,в замедлении и замечании того что происходит,"стредний темп речи, энергичный, устойчивый",средняя,"1. Не перегружать информацией. Действуйте последовательно и предсказуемо. ""Хотите об этом узнать больше?""
2. Четко формулировать мысль без воды в случае проявления раздражения и агрессии: объяснять , что происходит с человеком ""я понимаю, что вы хотели бы немедленно получить удовлетворяющий ответ, и сильно раздражаетесь, когда этого не получаете, но в лчении важна последовательность шагов и дозированность""
3. Возвращать ответсвенность и приглашать в совместное участие в лечении ""Я хочу вам помочь улучшить самочувсвтие/приблизиться к выздоровлению, и я могу это сделать быстрее, когда мы работаем сообща""
4. Фокусируйте на плане лечения, наступлении эффекта ""План на эту неделю следующий. Наблюдайте за: [изменения симптомов].""","Избегайте резких и категоричных и критичных высказываний, которые могут усилить раздражение.
Не стыдить
не угрожать и не принуждать"
Циклотимический,Цикличный,"Вы можете чувствовать себя то довольно бодро, то подавлено. Вам бывает сложно управлять своей жизнью из-за перемен в настроении и самочувствии ","и я здесь с вами, чтобы помочь вам лучше понять что с вами происходит и управлять своей жизнью в разные периоды жизни"," Смена настроения от подъема (гипертимность) до легкой депрессии 
 Непоследовательны, придирчивы у окружению , подавленность ( в состоянии депрессии) , в гипертимности : завышенная самооценка , несвязанная отрывистая речь, легкомыслие , склонность к эпотажу, . То все в гору, то валится из рук. Изменяется манера общения","В фазе подъема могут чаще пропускать встречи или придираться к медперсоналу.
В фазе спада низкая инициативность ии потеря мотивации",необходимость жить в регламентированных условиях и сохранять стабильность,Повышенным энтузиазмом или утратой интересов и апатией,"В фазе подъема как случайное событие, набор симптомов, с которыми легко можно справиться, в фазе спада как причина расстройства","В фазе подъема: Необязательное или слишком обременительное занятие, либо способ поддержать высокий уровень активности 
в фазе спада: быть полезным близким","в фазе подъема: в большем осознавании, заботе о себе, замедлении
в фазе спада: поддержке","в фазе подъема: спокойный , устойчивый
в фазе спада: мягкий, поддерживающий","в фазе подъема: средняя
в фазе спада: высокая","в фазе подъема: 
1.  Предлагайте пациенту почитать про способы лечения и течение заболевания. Использования достоверные источники информации о болезни. 
2.  Признавайте важность жить полной жизнью и еще большей важности заниматься здоровьем, чтобы сохранить активность. ""Я понимаю, что для вас ценно жить полной жизнью, но это сложно, игнорируя свое здоровье. ""
3. Хвалите за выполнение рекомендаций. 
4. Активно подсвечивайте риски не выполнения рекомендаций
5. Активно вовлейкайте в процесс лечения: ""Давайте вместе посмотрим, результаты исследований""
в фазе спада:
1. Информация должна быть очень простой и дозированной. 
2. Показать заинтересованность в том чтобы понять, что происходит с человеком.""вы говорите, что вам сложно уснуть, расскажите что вас беспокоит."" 
3. Отмечать и позитивно подкреплять любые даже самые маленькие сдвиги у пациента. ""Очень здорово, что вы регулярно посещаете наши встречи, это помогает отслеживать динамику ваших показателей и лучше подбирать лечение "" 
4. Фокусировка на маленких шагах, которые делает пациент
5. Постоянная поддержка вместо активной мотивации","В фазе подъема – слишком жесткой регламентации деятельности, в фазе спада – принуждения и критики"
Застревающий,Фиксированный/Обидчивый,Вы способны упорно идти к своей цели. При этом вы можете довольно долго проживать обиду и неудачи,"Вы не одни на этом пути. Я поддержу вас, и помогу вам разобраться с тем, что вызывает напряжение и найти светлые моменты даже в сложных ситуациях. ","Продолжительно переживают негативные эмоции, имеют низкую адаптацию к изменениям. Чувствительны к успехам других и собственным неудачам. Часто застревают в чувстве зависти со знаком -. Имеют завышенные требования к себе и другим. В случае успеха также бывают захвачены чувствами - становятся заносчивыми. Упорны",Конфликты,"Чередования успехов и неудач, успехи других, критика в свой адрес","Критикуют окружающих, желанием наказать и отомстить (черная зависть)","Результат неблагоприятных внешних условий, неблагожелательных намерений или действий других людей или ошибок врачей",Восстановление справедливости и способ вызвать уважение со стороны окружающих,в стабильной принимающей фигуре,"энергичный, устойчивый, настойчивый",высокая,"1. Принятие того, что пациент чувствует и помощь в осознании ""Вам сложно проживать {отсутсвие динамики в лечении/_____}, возможно, вы злитесь и негодуете, но я здесь с вами и готова помочь разобраться, какие шаги сдлеать дальше"" 
2. Если пациент выражает недоверие ""Возможно, вам сложно доверять мне, но я здесь чтобы помочь и готова ответить на ваши вопросы"" 
3. Открытый диалог с называнием чувств и принятие того, что человек чувствует c последущим приглашением в контакт (давайте я отвечу на ваши вопросы/ расскажу процедурк/ вместе решим, что делать дальше и тд) - ключевой аспект выстраивания коммуникации с данным типом. 
4. Отмечать реальными фактами без преувеличения то, что у пациента получилось хорошо.","Избегайте резких и категоричных и критичных высказываний, 
Не стыдить
Не давать советов"
Педантичный,Педантичный,"Вы умеете быть человеком, на которого можно положиться, При этом Вам может быть сложно и напряженно в ситуациях неопределнности, что может вызывать затруднения в принятии решений.","Я помогу вам лучше понимать процесс лечения, а также поделюсь идеями как можно снимать напряжение - это поможет вам значительно облегчить путь лечения","Неуверенностью в своих возможностях, сложности в принятии решения, стремлением ""подстелить везде соломку"". Похожи на застревающий тип, но вместо негативных чувств уходят в скурпулезное выполнение разных дел. Живут довольно в высокм напряжении и склонны к выгоранию. Гиперответственны и надежны","может очень формально подходить к встречам с медперсоналам, выражать недовольство в случае нелогичности и непоследовательности действий со стороны медперсонала, придирчивы","нарушение порядка, дефицит информации и времени, непоредленность","начинают все контролировать, сопротивление изменениям",Угрозу благополучию,"Обязательное соблюдение правил и использование проверенных методов, доказавших свою эффективность","в порядке и предсказуемости, расслаблении","спокойный, медленный, поддерживающий",средняя,"1. Информация должна быть полной и достоверной, с научной базой
2. Последовательность и предсказуемость действий со стороны медперсонала. Регулряная проверка безопаности ""Понятно ли вам то, что я говорю"", ""комфортно ли вам сейчас на встрече?"" ""Что я могу сделать для того чтобы было комфортнее?""
3. Замечать его основательное отношение . Я вижу как вы внимательны к вашем уздоровью и выполнению реокмендаций. Это здорово!""
3. Уважать склонность к порядку. Терпение в случае придирок и принятие к сведению обратной связи пациента.","Избегайте непровереннной информации
Не запугивайте
Избегайте нарушение порядка"
Замкнутый,Интроверт,"Вы склонны к уединению. Вам может быть сложно понимать чувства других, а также затруднительно выражать свои","Я помогу вам найти способы для улучшения вашего состояния, относясь с уважением к вашему личному пространтсву","Затруднениями в понимании окружающих и выражении своих чувств, интроверты, иногда выглядят как чудаки, очень много фантазируют внутри себя, обладают высоким интеллектом","малообщительны, избегают контакта и коммуникации. ","в ситуациях сокращения эмоционально и физической дистанции (например, частая коммуникация)","закрываются от контакта, уходят в себя","Событие, вызванное необычными причинами","Предпочтение использовать нестандартные способы, включая альтернативную медицину",в соблюдении дистанции,"спокойный, устойчивый",низкая,"1. Возможно лучший канал коммуникации для таких пациентов - это переписка
2. Весь спектр активного слушания - повторение, резюмирование, задавание открытых вопросох, кивок и тд
3. Говорить коротко и ясно.
4. Оперировать фактами и достоверно информацией в коммуникации
5. Активность коммуникации наращивать постпенно, так как такие пациенты довольно долго выстраивают безопасность","избегать напористости, критики, сильного подбадривания, активного сближения"
Гипертимный,Энергичный,"У вас часто хорошее настроение и вы на строены на активную работу, но вы можете переоценивать свои возможности","Я зддесь с вами, чтобы поддержать вас и помочь лучше распределять ресурсы и направлять их на выздоровление","Приподнятым настроением, оптимизмом, разнообразием интересов, большим количеством планов, переоценкой своих возможностей, повышенной отвлекаемостью, широкими и поверхностными контактами. Низкий самоконтроль","возбуждены, могут спешить и от этого быть невнимательными, упускать важное, могут выражать панибратство","однообразие, ограничение свободы , осаживание,  принуждение, запреты","игнорируют риски и сложности, снимают с себя ответсвенность",Недостойное внимания событие,"Бессмысленное занятие, однако необходимое для изменения жизненных обстоятельств и собственного развития",в активной деятельности,"спокойный, устойчивый",средняя,"1. помогайте такому пациенту держать фокус на том что важно обсудить на данной встрече ""я замечаю, что вам есть чем поделиться. Это здорово, что вы так активны в отношении своего здоровья. Сегодня нам важно обсудить ____. Что вы здесь наблюдаете у себя?"" ""как , то что вы говорите, относится к вашим симптомах/жалобам"" ""Давайте обсудим план сегодняшней встречи""
2. Резюмируйте то, что говорит пациент
3. Подчеркивайте сильные стороны пациента. Хвалите за успехи
4. Концентрируйтесь на позитивных аспектах лечения и выздоровления
5. Основные принципы: открытый диалог при этом структурированный; поддержка позитивного настроя; заземление через обозначение чувств ""Похоже вы злитесь/ исптываете азарт"" 
6. Поощрение ответственности и приглашение к участию в процессе лечения","не принуждать, не давить, не требовать"